text,target
Thank you for quickly producing high quality parts for the Smart Stick Machine. These parts helped increase the rigidity of the front steering assembly on the prototype 8020 frame. Having a robust front steering system is key in helping the safety team understand that we have a safe machine to operate in the research plots.,True
Thank you for working safely and thank you for completing the PIT pre-inspection.,True
"Well done! Finding a potential trip hazard and coming up with a solution to fix the issue. T201 tower, while changing out float LT38007, the metals craft found a trip hazard on the walking platform. They communicated with the appropriate team and came up with a solution to fix the platform.",True
Thank you for the leadership you continue to provide to ensure hazards are identified and discussed on a daily basis to ensure safe execution of work.,True
"Rakesh Lakshmanan worked closely with Cisco & Aruba vendors on the security vulnerabilities by Seeking data, building knowledge to plan, execute & remediate 100% patching vulnerability compliance in Network Data Tower",True
"Omkar, Bryan and Weselina were professional to the last ensuring a safe and controlled transition of their tasks in to, and extraction of the resiliency tasks, from the BM team. They ensured all procedures were up to date and that the new owners were fully trained and comfortable. Over and above that they managed 2 large asks which ran concurrent to the transition period and meant long hours and overcoming significant system obstacles - the ORRP refresh and the Fusion onboarding. They accomplished these significant efforts with grace and efficiency managing multiple stakeholders. A big thank you for all that you contributed and best of luck!",False
"Christopher's ""Safety Commitment"" on the Cardinal Health Account is clear. His HSSE involvement in supporting his team and encouraging Good Catch/Near Misses is a key part of keeping his JLL team safe. Christopher challenges his team members and reinforces the importance of safety. He coaches the team to be the best they can and to identify safety hazards that can be corrected making Cardinal Health a safer environment. By supporting, investigating, and correcting safety hazards his actions have prevented potential incidents and injuries from occurring. This is a key attribute to a true ""Safety Leader"". With every Good Catch or Near Miss that is corrected we are making Cardinal Health a safer place. It takes management and leaders like this to grow our JLL Safety Culture.",True
"Thank you for creating a detailed flood response plan for the Corning Fairport Emergency Response Plan. This update, with tasks and assigned responsible parties, will ensure everyone will knows their part and how to minimize damage to the plant in the event of a flood.",True
Thank you for taking care of your staff and making sure your clinics are a safe place to receive great care! Your dedication to doing things for the right reasons shines through in all your staff!,True
"Thank you, John, for keeping us running the last several months, through the noise of construction and several interruptions in your home base area. I appreciate your consistent eye on the increased waste levels we've had for different projects, adaptability to moving pallets as needed to ZV, and contributing input to the hazardous waste layout proposals as well as the new waste pickup app and tablets. Your responsiveness to customers helps keep things running and keeps us in compliance. Many thanks, Melissa",False
Thank you for arranging to have a colleague from another region join our team call to share their experiences and best practices on handling safety and pivoting to efficacy. The team all got something out of the discussion and it will help us drive behavior change in our HCPs and help more patients!,True
"Great job guys getting the pump pulled, repaired and reinstalled quickly on short notice. This helped the extraction area greatly so we could get the process back to running in a normal state so our waste levels could be controlled.",False
"Thank you for your effort in the cleaning, rearranging, and discards as remediations of Line 50 water main breakage. Your help and patience during this time is appreciated.",False
"Cody, Thank you for escalating the package that was placed in your area. This was a great example of ""See Something, Say Something"" and helps us maintain a high sense of Food Defense to keep our products safe for consumers.",True
We are very proud to have Dave Cox as our EHS Manager in HI. Dave led and prepared the team efficiently for our GEHMS audit. The auditors were very impressed with our team commitment to Safety.,True
Thanks for restacking the tier and being safe on behalf of staff members that were in the area. And going above and beyond your normal workload! Thank you! Much appreciated!,True
"I can't thank you both enough for your efforts in donating the PPE in Chicago. While we still have millions to go, you made a significant impact and I'm so grateful for your super hard work.",False
"Sonya, thank you for your support in the Environmental program and the effort and dedication to keeping our frontline team safe and knocking the GEHSMS audit out of the park!",True
"Ricky led the effort to create, develop and release a Situational Awareness course for all Space employees in response to an EVP's initiative to address employee and product safety. Ricky led this effort throughout and was able to create a valuable product that benefits every employee across Space, regardless of their work classification. His dedication, correspondence with external supplier and quick turn on the finished product show what can be accomplished to meet quick turn initiatives assisting employees.",True
Sara had a great catch while admitting a patient this morning when she noticed the printed date of birth on the procedural consent was incorrect. Sara corrected it quickly and had the patient sign a new consent with the correct date of birth. Great catch Sara!,False
"Liza recently joined our API team and already has made an impact. One of the main safety concerns on our new process to prepare PF-07901425-15 (the new RSM) is the fate of the tert-butyl cation liberated during the Boc cleavage. The ARD team worked with us to study the low boiling components present in the process stream. Once one of the key standards arrived, Liza ran the samples and found for us that the principle component present was tert-butyl isopropyl ether, proving that this is the primary fate product in the process. The safety team was concerned about the liberation of isobutane or isobutylene which do not appear to be present. This is a very important result and helps closeout the safety around this process. In addition, Liza is helping us with analysis of the isolated materials from this same step in the kilo lab. Tremendous thanks to Liza on behalf of our team!",True
"Thank you both for further educating the organization on the different aspects of food safety, and the importance of food safety culture! We appreciate your time, collaboration, and expertise!",True
Jack/Morgan - Thank you for the dedication in repairing the recent G105 LDAR seal issue. I appreciate the motivation to get it completed in a timely manner and help us reduce any potential for emissions. The pump has been restarted and has passed all LDAR testing,True
Thank you didi for always being helpful and informative to Compliance team. You really help us in understanding the governance process. Looking forward for our good collaboration.,False
"Ramil, thank you for your observation report and proactive participation in IRIS observation reporting process. In May 2022, one of your reported observations was recognized as the best. Your contribution is making us a safer company. Thank you again and keep it up.",True
Great job identifying ID theft today and saving the bank from a potential $30k loss. Efforts like this make a real difference for the bank and preserve and strengthen our dealer relationships. Thanks for all you do Shera. You continue to produce fine results and are a real asset to our credit team.,False
Thank you Lonnie for the safety presentation at this weeks safety awareness meeting. Being aware of pedestrian traffic and making yourself safer and more visible is advice we can all apply to our daily routine.,True
Justin seen me struggling taking a pallet of product out and stopped what he was doing and held the door open until i safely brought all of them out..,False
Great job identifying ID theft today and saving the bank from a potential $74k loss. Efforts like this make a real difference for the bank and preserve and strengthen our dealer relationships. Thanks for all you do Dan. You continue to produce fine results and are a real asset to our credit team.,False
"Arnie and Jackson did an amazing job with getting the FastPAK Cell taped and marked to improve efficiency and flow for continued operations! The incredible work and flexibility they demonstrated led to one of the most well-designed areas in 188! Not only that, they also went above and beyond by identifying other saftey and code violations that required 6S taping and immediately took action to rectify those for us in addition to what we had requested!",True
Thank you guys for putting together a hose management system to keep the 6x10 Autoclave Hoses from flopping around and hitting employees working in the area.,True
Mando suggested that we create a process where we maintain a minimum amount of consumables (i.e. air guns) and to identify an amount that will trigger us to order more. This will prevent the Drivers from not having the necessary parts/tools to perform their job safely and addresses current barriers due to supply chain constraints. Thank you Mando!,True
"Action Orientation - Like all other installations around the world Glen Lyon is fitted with local emergency stop buttons and also remote/local selector switches. On Glen Lyon unfortunately all of these buttons and switches are exposed and have resulted in activation by people accidentally making contact with them. Alan led an Offshore programme to identify how we could retro fit protection covers to the junction boxes with affecting the Ex integrity. He systematically identified the hundreds of locations where these protection covers required to be fitted, ordered up the required materials and over the space of a couple of months arranged for the core crew members to get these fitted. Since these protection covers have been fitted we have not had any accidental activations of the emergency stop buttons or remote/local switches.",True
"Active contribute to make workplace safe and comfort. Thank you for Mas Andro's contribution, to report unsafe act, unsafe condition and appreciate for safe act.",True
"Aine - thank you for speaking up about psychological safety and workload in Launchpad and being a consistent champion for empathy, listening and the importance of calling out when things are not OK in the culture",False
"Brian and Shane have rigorously maintained the read-only status of the safety system PLCs on Mad Dog's DCS. This is incredibly important to prevent unauthorized tampering of our safety logic and emergency support logic. It requires extra physical effort to maintain this level of safety, and a region wide health check revealed that only Mad Dog was fully protected due to their actions. Keep up the excellent work.",True
"Colin / Darran, thank you very much for leading by example with respect to social distancing and face mask wearing on Clair. By upholding rigorous standards you have encouraged the whole intervention crew to do the same, keeping everyone as safe as possible. Thank you for setting the example and putting safety at the forefront of our operations.",True
"Darren, thanks for making me aware that the pump and seal were in bits in the workshop and that you were building it back up. You demonstrated how the equipment would be put back together using the seal itself and the drawings, illustrating what can go wrong and how it should be properly maintained to prevent damage. This was a valuable opportunity for a Prod tech to see the internals explained by you. Much appreciated.",False
"Dear Evrim, I'm very pleased that you did a detailed review on gantry alarm management and then produced a very smart poster which is now in use for all European terminals. This is a great example of effective learning from incidents and the commitment to avoid reoccurance somewhere in our operation. As a true believer of ""Zero Incident"" you proved once again that we need everyone to achieve this goal. Well done!",False
"Dear Jamal, The Chirag1 management team would like to take this opportunity to recognise your input into Operating Discipline. This is one of the key elements of BP's Operating Management System (OMS). The quality assessment of the Tool Box Talk which you conducted for CGLP with work scope of Gland and Termination power cable to 110 V DB at LV Switch Room had reported by auditor to be very high level of quality. It was very structured, short but detailed enough to discuss all related hazards and measures in place, involving all personal for discussion, using simple examples of issues/incidents happened before from your experience and mostly the manner of presenting TBT shown your personal ownership taken to deliver safe and quality work. This is a great demonstration of attention to details and helps us to run our day to day activities in safe and efficient manner I would like to take this opportunity to thank you for your continuously support for the safe operation of the Chirag1 Platform Yours faithfully, Nadir Efendiyev Chirag OIM",True
"Dear Lina, I want to tell you I thought it took a lot of courage to self disclose your personal struggles in front of a room of SLLs and GL and your reflections of are you doing enough in the space of leading safety. You are a very strong and confident leader and a role model for many of us but the humility you showed with your statement was transformational.",False
"Dear Natig, I would like to appreciate you for your contribution to Environment protection",False
For remaining focused and being thorough towards safety,True
"Gadir - The CA management team would like to take this opportunity to recognize your input into OMS 5.3 ""Asset Operation"" Operating Discipline for the sake of maintain a safe operation under control. While performing area checks you noticed that there is no insulation on Glycol circulation pump 75 PSV, Understanding that may result in waxing of the PSV inlet especially in existing cold weather, seizing it from operation on demand, you followed up and reinstated the insulation back in place. I would like to take this opportunity to thank you for your continued support for the safe operation of the Central Azeri Platform. Great Job!",True
Good job with the safety moment,True
Great stand up on climate change!,False
I want to recognise the actions you took to keep bp safe from a potential phishing attack. The awareness of the threat you demonstrated and the judgement you were able to make in the moment prevented a potential cyber security breach. Importantly your follow up actions to reach out to your cyber ambassador allowed the sharing of the incident to bring wider awareness of this threat. Cyber criminals are increasing using the current climate of global unease to target people at work and home. Well done for preventing a cyber incursion and playing your part in supporting the North Sea Region's We Care About Zero goal of Zero Cyber Incursions.,True
"I would like to Thank you Yasser for focusing on the remaining scope related to the FGC, specially the safety impact and communicating this to all stake holders to get it treated with the right attention. This is hugely highlighting the focus on our priority for operating the plant safely.",True
"I would like to recognize you for reinforcing safety focus to the operations/maintenance team. You as a leader show good example sustaining/improving our one of the core value - safety at West Azeri Platform by recognizing safety in our workplace by appreciation for attention to safety practices, describing other assets safety reports and subsequent lessons we need to focus. Thank you for alerting us to a potentially hazardous situation. We appreciate your contribution to keeping our workplace safe!",True
"Joy, thanks a lot for your great effort to secure protection masks for Gas China team (including GDLNG). This is really helpful and gives protection to GDLNG normal operation. Excellent one team effort and demonstrated BP values.",False
"Kafeel, thanks for your leadership in the region this year on Cyber Security; the threats are significant and your team's work to secure our operations are making us safer. Thanks for what you are doing to protect our people, environment and assets.",True
Mark thanks for your contribution to ensuring that our GWO marine operations are safe. Through your interventions the business was able to indentify and quickly close gaps. When asked to support preparation for the audit you took the challenge and supported our team and GWP with excellence. Thanks for your leadership and for ensuring that our operations are safe!,True
"Mary went above and beyond her own personal comfort zone in assisting in a safety incident in the lab. She printed MS sheets and made the situation safe for both me and her colleagues in the area. She also was an amazing, calming influence on a high stress situation.",True
"Mike, Thank you for helping to protect bp from a possible cyber security threat by championing and escalating a serious cyber security incident experienced by one of our key suppliers that impacted their entire organisation. Thanks for remaining vigilant and doing the right thing. Regards Kevin",True
"On Nov. 7, QBPC held the Second Workshop on Administrative Protection of IPR of Foreign Invested Enterprises. Castrol has successfully demonstrated our strengthen in IP protection and impressed the law enforcement / administrative authorities on our effort for IP protection in this workshop. Thank you so much for supporting Kelvin on preparing the brand protection materials and souvenirs.",False
Staying onsite in driving rain and cold reducing our exposure to the system as well as environmental conditions,True
Stephen and Jaume have really helped provide clarity and excellence in understanding what is mean by socially sustainable as part of the biodiversity NPI methodology development work - this is really important if we are to be able deliver practical solutions which produce practical solutions and minimize the risks to bp on implementation of the biodiversity aim.,False
"Thank you for organizing and participating in Trash Tag Social Event, Contributing to the Environmental improvement of Mardakan beach area.",False
